"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"microSD_HC_Hirose_DM3BT-DSF-PEJS";1;"microSD_HC_Hirose_DM3BT-DSF-PEJS";;;
2;"REF**";"GameBoy_GamePak_DMG-09_P1.50mm_Edge";1;"GameBoy_GamePak_DMG-09_P1.50mm_Edge";;;
